Date_Time,CO_sensor,RH
2004-04-04 00:00:00,1224.0,56.5
2004-04-04 01:00:00,1215.0,59.2
2004-04-04 02:00:00,1115.0,62.4
2004-04-04 03:00:00,1124.0,65.0
2004-04-04 04:00:00,1028.0,65.3
2004-04-04 05:00:00,1010.0,66.5
2004-04-04 06:00:00,1074.0,69.1
2004-04-04 07:00:00,1034.0,64.8
2004-04-04 08:00:00,1130.0,59.0
2004-04-04 09:00:00,1275.0,49.8
2004-04-04 10:00:00,1324.0,40.7
2004-04-04 11:00:00,1268.0,37.1
2004-04-04 12:00:00,1272.0,33.8
2004-04-04 13:00:00,1160.0,32.1
2004-04-04 14:00:00,1136.0,31.1
2004-04-04 15:00:00,1296.0,30.8
2004-04-04 16:00:00,1345.0,36.0
2004-04-04 17:00:00,1296.0,36.2
2004-04-04 18:00:00,1258.0,39.3
2004-04-04 19:00:00,1420.0,44.6
2004-04-04 20:00:00,1366.0,48.9
2004-04-04 21:00:00,1113.0,56.1
2004-04-04 22:00:00,1196.0,58.8
2004-04-04 23:00:00,1188.0,60.8
2004-04-05 00:00:00,1102.0,64.4
2004-04-05 01:00:00,969.0,63.3
2004-04-05 02:00:00,983.0,61.5
2004-04-05 03:00:00,876.0,56.9
2004-04-05 04:00:00,884.0,54.0
2004-04-05 05:00:00,1024.0,63.9
2004-04-05 06:00:00,1126.0,65.3
2004-04-05 07:00:00,1415.0,62.5
2004-04-05 08:00:00,1631.0,58.8
2004-04-05 09:00:00,1499.0,56.7
2004-04-05 10:00:00,1461.0,57.4
2004-04-05 11:00:00,1430.0,55.2
2004-04-05 12:00:00,1498.0,54.3
2004-04-05 13:00:00,1454.0,51.5
2004-04-05 14:00:00,1402.0,47.5
2004-04-05 15:00:00,1327.0,41.7
2004-04-05 16:00:00,1273.0,38.3
2004-04-05 17:00:00,1457.0,42.8
2004-04-05 18:00:00,1543.0,45.4
2004-04-05 19:00:00,1499.0,47.5
2004-04-05 20:00:00,1378.0,49.4
2004-04-05 21:00:00,1243.0,50.9
2004-04-05 22:00:00,1196.0,51.8
2004-04-05 23:00:00,1137.0,53.9
2004-04-06 00:00:00,1015.0,55.4
2004-04-06 01:00:00,978.0,57.0
2004-04-06 02:00:00,933.0,59.2
2004-04-06 03:00:00,927.0,61.4
2004-04-06 04:00:00,908.0,61.6
2004-04-06 05:00:00,980.0,58.8
2004-04-06 06:00:00,1236.0,58.9
2004-04-06 07:00:00,1664.0,55.2
2004-04-06 08:00:00,1757.0,52.5
2004-04-06 09:00:00,1524.0,46.3
2004-04-06 10:00:00,1329.0,41.8
2004-04-06 11:00:00,1167.0,40.1
2004-04-06 12:00:00,1369.0,36.6
2004-04-06 13:00:00,1284.0,34.7
2004-04-06 14:00:00,1221.0,35.4
2004-04-06 15:00:00,1096.0,36.9
2004-04-06 16:00:00,1143.0,36.8
2004-04-06 17:00:00,1251.0,40.6
2004-04-06 18:00:00,1268.0,44.3
2004-04-06 19:00:00,1314.0,47.7
2004-04-06 20:00:00,1315.0,50.7
2004-04-06 21:00:00,1095.0,49.4
2004-04-06 22:00:00,1027.0,48.6
2004-04-06 23:00:00,1012.0,47.0
2004-04-07 00:00:00,948.0,45.9
2004-04-07 01:00:00,889.0,44.9
2004-04-07 02:00:00,830.0,44.4
2004-04-07 03:00:00,801.0,42.4
2004-04-07 04:00:00,804.0,45.4
2004-04-07 05:00:00,824.0,50.1
2004-04-07 06:00:00,1000.0,58.6
2004-04-07 07:00:00,1307.0,58.2
2004-04-07 08:00:00,1286.0,52.0
2004-04-07 09:00:00,1150.0,61.4
2004-04-07 10:00:00,1087.0,53.1
2004-04-07 11:00:00,1016.0,44.3
2004-04-07 12:00:00,1029.0,40.3
2004-04-07 13:00:00,1109.0,42.2
2004-04-07 14:00:00,997.0,51.8
2004-04-07 15:00:00,1177.0,76.4
2004-04-07 16:00:00,1045.0,47.7
2004-04-07 17:00:00,1171.0,37.1
2004-04-07 18:00:00,1221.0,48.7
2004-04-07 19:00:00,1262.0,71.3
2004-04-07 20:00:00,1207.0,74.0
2004-04-07 21:00:00,956.0,71.8
2004-04-07 22:00:00,1020.0,75.2
2004-04-07 23:00:00,1107.0,76.0
2004-04-08 00:00:00,1020.0,75.0
2004-04-08 01:00:00,1051.0,76.7
2004-04-08 02:00:00,965.0,79.6
2004-04-08 03:00:00,890.0,80.6
2004-04-08 04:00:00,823.0,75.6
2004-04-08 05:00:00,869.0,72.1
2004-04-08 06:00:00,939.0,70.4
2004-04-08 07:00:00,1274.0,70.5
2004-04-08 08:00:00,1512.0,64.3
2004-04-08 09:00:00,1435.0,54.2
2004-04-08 10:00:00,1207.0,42.6
2004-04-08 11:00:00,1223.0,34.2
